UM_CODE;UM_NAMEF;global_id;UM_NAMES;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR
25430;Скотопрогонная улица;58482814;Скотопрогонная ул.;Skotoprogonnaya ulicza;1;;"0107;0510";77000000000722800
25435;улица Академика Скрябина;58482815;ул. Академика Скрябина;ulicza Akademika Skryabina;1;;"0504;0506;0513";77000000000007800
25440;Скрябинский переулок;58482816;Скрябинский пер.;Skryabinskij pereulok;2;;105;77000000000266700
25443;площадь Славы;58482817;пл. Славы;ploshhad` Slavy';4;;506;77000000000748600
25445;Славянская площадь;58482818;Славянская пл.;Slavyanskaya ploshhad`;4;;"0107;0108";77000000000266800
25450;Славянский бульвар;58482819;Славянский бульв.;Slavyanskij bul`var;8;;819;77000000000266900
25460;улица Слепнёва;58482820;ул. Слепнёва;ulicza Slepnyova;1;;306;77000000000267000
25470;Слесарный переулок;58482821;Слесарный пер.;Slesarny'j pereulok;2;;105;77000000000267100
25480;Слободской переулок;58482822;Слободской пер.;Slobodskoj pereulok;2;;507;77000000000031900
25500;Смирновская улица;58482823;Смирновская ул.;Smirnovskaya ulicza;1;;510;77000000000032000
25510;Смоленская набережная;58482824;Смоленская наб.;Smolenskaya naberezhnaya;5;;101;77000000000267400
25520;Смоленская площадь;58482825;Смоленская пл.;Smolenskaya ploshhad`;4;;101;77000000000267500
25530;Смоленская-Сенная площадь;58482826;Смоленская-Сенная пл.;Smolenskaya-Sennaya ploshhad`;4;;"0101;0109";77000000000267700
25540;Смоленская улица;58482827;Смоленская ул.;Smolenskaya ulicza;1;;"0101;0109";77000000000267600
25550;Смоленский бульвар;58482828;Смоленский бульв.;Smolenskij bul`var;8;;"0101;0109";77000000000268100
25560;1-й Смоленский переулок;58482829;1-й Смоленский пер.;Pervy'j Smolenskij pereulok;2;;101;77000000000267800
25570;2-й Смоленский переулок;58482830;2-й Смоленский пер.;Vtoroj Smolenskij pereulok;2;;101;77000000000267900
25571;3-й Смоленский переулок;58482831;3-й Смоленский пер.;Tretij Smolenskij pereulok;2;;101;77000000000268000
25580;Смольная улица;58482832;Смольная ул.;Smol`naya ulicza;1;;"0207;0211;0216";77000000000268200
25590;Снайперская улица;58482833;Снайперская ул.;Snajperskaya ulicza;1;;404;77000000000044500
25600;Снежная улица;58482834;Снежная ул.;Snezhnaya ulicza;1;;313;77000000000268400
25610;Малый Кисловский переулок;58482835;М. Кисловский пер.;Maly'j Kislovskij pereulok;2;;106;77000000000700200
25620;Соболевский проезд;58482836;Соболевский пр.;Sobolevskij proezd;3;;210;77000000000036700
25630;Тверская площадь;58482837;Тверская пл.;Tverskaya ploshhad`;4;;108;77000000000748800
25640;Советская улица;58482838;Советская ул.;Sovetskaya ulicza;1;;408;77000000000268900
25644;Советская улица;58482839;Советская ул.;Sovetskaya ulicza;1;;1005;77000002000269200
25645;Советская улица;58482840;Советская ул.;Sovetskaya ulicza;1;728255;813;77000000044000200
25646;Советская улица;58482841;Советская ул.;Sovetskaya ulicza;1;703580;813;77000000002392200
25647;Советская улица;58482842;Советская ул.;Sovetskaya ulicza;1;;807;77000000025269000
25670;улица Советской Армии;58482843;ул. Советской Армии;ulicza Sovetskoj Armii;1;;"0105;0309";77000000000269300
25680;Совхозная улица;58482844;Совхозная ул.;Sovxoznaya ulicza;1;;508;77000000000021100
25690;Соймоновский проезд;58482845;Соймоновский пр.;Sojmonovskij proezd;3;;109;77000000000705400
25700;улица Столетова;58482846;ул. Столетова;ulicza Stoletova;1;;815;77000000000279300
25720;3-я улица Соколиной Горы;58482847;3-я ул. Соколиной Горы;Tret`ya ulicza Sokolinoj Gory';1;;417;77000000000044600
25730;5-я улица Соколиной Горы;58482849;5-я ул. Соколиной Горы;Pyataya ulicza Sokolinoj Gory';1;;417;77000000000044700
25740;8-я улица Соколиной Горы;58482850;8-я ул. Соколиной Горы;Vos`maya ulicza Sokolinoj Gory';1;;"0408;0417";77000000000270000
25750;9-я улица Соколиной Горы;58482851;9-я ул. Соколиной Горы;Devyataya ulicza Sokolinoj Gory';1;;417;77000000000270100
25760;10-я улица Соколиной Горы;58482852;10-я ул. Соколиной Горы;Desyataya ulicza Sokolinoj Gory';1;;417;77000000000269500
25785;Соколово-Мещерская улица;58482853;Соколово-Мещерская ул.;Sokolovo-Meshherskaya ulicza;1;;901;77000000000452000
25790;улица Маршала Соколовского;58482854;ул. Маршала Соколовского;ulicza Marshala Sokolovskogo;1;;907;77000000000270200
25800;улица Сокольническая Слободка;58482855;ул. Сокольническая Слободка;ulicza Sokol`nicheskaya Slobodka;1;;418;77000000000270800
25810;1-я Сокольническая улица;58482856;1-я Сокольническая ул.;Pervaya Sokol`nicheskaya ulicza;1;;418;77000000000270300
25820;2-я Сокольническая улица;58482857;2-я Сокольническая ул.;Vtoraya Sokol`nicheskaya ulicza;1;;418;77000000000270400
